artist,track,url
"Ayelle","Mind and Body","https://www.youtube.com/embed/4XDY-q354fI?autoplay=1&start=35&end=65&controls=0"
"Julia Michaels","Heaven","https://www.youtube.com/embed/5s7T6CDm8ak?autoplay=1&start=56&end=86&controls=0"
"Charli xcx","Mean girls","https://www.youtube.com/embed/IKUQDMEBXN0?autoplay=1&start=50&end=80&controls=0"
"Sabrina Claudio","Put On Repeat","https://www.youtube.com/embed/Pz63aBDQYQ4?autoplay=1&start=35&end=65&controls=0"
"Shiro SAGISU","A Cruel Angel's Thesis - Director's Edit Version","https://www.youtube.com/embed/CZQ1pTMAXN0?autoplay=1&start=40&end=70&controls=0"
"OBOY","Avec Toi","https://www.youtube.com/embed/FT9RnwfTVMw?autoplay=1&start=34&end=64&controls=0"
"Supertramp","Breakfast In America - 2010 Remastered","https://www.youtube.com/embed/3YQb-0P320s?autoplay=1&start=51&end=81&controls=0"
"Gigi Perez","Figurines","https://www.youtube.com/embed/PlB-KTKptYU?autoplay=1&start=39&end=69&controls=0"
"XXXTENTACION","Hope","https://www.youtube.com/embed/KyAcMpQUY5s?autoplay=1&start=32&end=62&controls=0"
"ANGUISH","Uchiha","https://www.youtube.com/embed/U5UHCvxo7Gw?autoplay=1&start=42&end=72&controls=0"
"Chase Atlantic","LUST","https://www.youtube.com/embed/g3maqr6yQTQ?autoplay=1&start=57&end=87&controls=0"
"Two Feet","I Want It","https://www.youtube.com/embed/PR6-y9gK4ps?autoplay=1&start=54&end=84&controls=0"
"Nekfeu","Reuf","https://www.youtube.com/embed/0233MFN2N4g?autoplay=1&start=30&end=60&controls=0"
"Billie Eilish","i love you","https://www.youtube.com/embed/WiinVuzh4DA?autoplay=1&start=37&end=67&controls=0"
"Chase Atlantic","Okay","https://www.youtube.com/embed/8A8QhQwWKqw?autoplay=1&start=56&end=86&controls=0"
"ELIO","hurts 2 hate somebody (with Chase Atlantic & No Rome)","https://www.youtube.com/embed/7KflynJlW88?autoplay=1&start=48&end=78&controls=0"
"Jiyagi","MR. VAIN","https://www.youtube.com/embed/jgCEb8qm-iA?autoplay=1&start=40&end=70&controls=0"
